Affinity Event ID,Description,Event Size,Actor,Global
COM_Event_CommentTrigger_CFTheKey_02,"You've entered the Depot, the market area for the Crimson Fleet. Weapons, armor, general goods, neuroamps; everything you need is in one place. The space itself is a narrow corridor, shops flanking you on both sides. The area feels pinched together, with the stores almost right on top of you as the shopkeeps goad you for some business. Whether it's out of necessity (it used to be a UC station with no market) or by design (the Fleet chose this location for the Depot) is unclear.",0.000000,Companion_Andreja Companion_Barrett Companion_SamCoe Companion_SarahMorgan ,COM_EventReaction_Indifferent COM_EventReaction_Indifferent COM_EventReaction_Indifferent COM_EventReaction_Indifferent 
COM_Andreja_Story_SG01_Action03_Choice01,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Likes 
COM_Andreja_Story_SG04_Action18_Choice04,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Dislikes 
COM_Andreja_Story_SG01_Action03_Choice03,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Likes 
COM_Andreja_Story_SG03_Action12_Choice01,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Likes 
COM_Andreja_Story_SG03_Action12_Choice02,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Dislikes 
COM_Andreja_Story_SG02_Action20_Choice01,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Likes 
COM_Andreja_Story_SG02_Action20_Choice03,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Dislikes 
COM_Andreja_Story_SG04_Action04_Choice01,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Likes 
COM_Andreja_Story_SG04_Action04_Choice04,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Dislikes 
COM_Andreja_Story_SG04_Action17_Choice04,"ANDREJA ONLY",1.000000,Companion_Andreja ,COM_EventReaction_Likes 
FFNewHomesteadZ01_Bill_Tour09_MuseumQuestions_Action03,"The player has just taken a tour of New Homestead with Bill Starsap, a friendly and knowledgeable, but long-winded tour guide. The player enjoyed the tour and just gave Bill an extra 100 credit tip.",1.000000,Companion_Andreja Companion_Barrett Companion_SamCoe Companion_SarahMorgan ,COM_EventReaction_Indifferent COM_EventReaction_Likes COM_EventReaction_Likes COM_EventReaction_Likes 
BQ01_Scene_GREET_7300_Ellie_FinalConvo_Action45_Choice01,"BARRETT ONLY - Barrett quests finished with maximum evidence",1.000000,Companion_Barrett ,COM_EventReaction_Loves 
BQ01_Scene_GREET_7300_Ellie_FinalConvo_Action45_Choice02,"BARRETT ONLY - Barrett quests finished with good evidence",1.000000,Companion_Barrett ,COM_EventReaction_Likes 
